Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20181022E,CHIME,No,14:44:43.2,0.21,+27:07:48.0,0.22,39.5,64.85,285.986,21.786,22.086,https://www.chime-frb.ca/catalog
FRB20181116A,CHIME,No,02:24:12.0,0.043,+04:31:12.0,0.23,161.75,-51.22,355.433,37.133,29.033,https://www.chime-frb.ca/catalog
FRB20181221A,CHIME,No,15:22:19.2,0.2,+25:51:36.0,0.21,39.52,56.34,316.237,24.437,24.237,https://www.chime-frb.ca/catalog
FRB20181226C,CHIME,No,23:16:12.0,0.19,+44:56:24.0,0.18,105.75,-14.73,409.0184,94.0184,86.6184,https://www.chime-frb.ca/catalog
FRB20190111B,CHIME,No,17:20:04.8,0.16,+13:31:48.0,0.03,35.24,26.27,1336.9271,65.1271,51.0271,https://www.chime-frb.ca/catalog
FRB20190131D,CHIME,No,03:49:50.4,0.16,+22:45:00.0,0.18,168.11,-24.08,642.1218,67.5218,73.0218,https://www.chime-frb.ca/catalog
FRB20190204B,CHIME,No,17:03:40.8,0.17,+75:52:12.0,0.19,107.94,32.73,1464.9393,45.5393,39.9393,https://www.chime-frb.ca/catalog
FRB20190206C,CHIME,No,13:21:48.0,0.19,+74:23:24.0,0.046,120.17,42.57,1043.002,38.302,30.802,https://www.chime-frb.ca/catalog
FRB20190218B,CHIME,No,17:54:48.0,0.22,+17:55:48.0,0.26,43.24,20.34,547.868,81.568,65.368,https://www.chime-frb.ca/catalog
FRB20190223A,CHIME,No,04:18:52.8,0.3,+87:39:00.0,0.32,124.98,25.66,389.2365,58.1365,56.7365,https://www.chime-frb.ca/catalog
FRB20190224A,CHIME,No,04:02:07.2,0.25,+83:23:24.0,0.29,128.22,22.58,818.4,65.5,68.9,https://www.chime-frb.ca/catalog
FRB20190320B,CHIME,No,16:41:36.0,0.23,+39:37:48.0,0.22,63.19,41.2,489.4949,37.6949,30.4949,https://www.chime-frb.ca/catalog
FRB20190320D,CHIME,No,17:28:52.8,0.23,+59:04:12.0,0.22,87.69,33.53,1141.35,43.85,37.45,https://www.chime-frb.ca/catalog
FRB20190405B,CHIME,No,15:45:55.2,0.043,+89:09:36.0,0.19,122.28,27.73,1113.218,53.918,50.618,https://www.chime-frb.ca/catalog
FRB20190424A,CHIME,No,11:13:12.0,0.18,+63:46:48.0,0.049,139.55,50.06,758.672,35.472,26.272,https://www.chime-frb.ca/catalog
FRB20190430A,CHIME,No,05:10:48.0,0.24,+87:00:36.0,0.32,125.94,25.83,339.25,57.85,56.45,https://www.chime-frb.ca/catalog
FRB20190516B,CHIME,No,11:09:21.6,0.21,+07:22:12.0,0.27,247.46,58.76,1235.416,33.316,23.216,https://www.chime-frb.ca/catalog
FRB20190527A,CHIME,No,00:49:48.0,0.2,+07:59:24.0,0.067,122.23,-54.88,584.58,33.68,24.68,https://www.chime-frb.ca/catalog
FRB20190605C,CHIME,No,11:13:16.8,0.048,-05:11:24.0,0.093,262.97,49.91,187.6421,37.8421,26.9421,https://www.chime-frb.ca/catalog
FRB20190619D,CHIME,No,07:39:09.6,0.21,+41:35:24.0,0.21,177.52,26.12,378.466,63.966,70.166,https://www.chime-frb.ca/catalog
FRB20190701D,CHIME,No,07:28:24.0,0.18,+66:42:00.0,0.16,149.28,28.38,933.3629,55.9629,53.9629,https://www.chime-frb.ca/catalog
FRB20180714A,Parkes,No,17:46:12.0,,-11:45:47.0,,14.9,8.7,1467.92,257,223,https://doi.org/10.1093/mnras/stz1751
FRB20180309A,Parkes,No,21:24:43.0,,-33:58:44.0,,10.9,-45.4,263.42,44.69,30,https://doi.org/10.1093/mnras/stz1751
FRB20180315A,ASKAP,No,19:35:00.0,0.05,-26:50:00.0,0.17,13.2,-20.9,479,116,,https://doi.org/10.3847/2041-8213/ab03d6
FRB20180812A,CHIME,No,01:17:19.2,0.27,+80:46:48.0,0.28,124.02,17.96,802.451,80.351,94.051,https://www.chime-frb.ca/catalog
FRB20180915B,CHIME,No,15:00:55.2,0.25,+25:01:12.0,0.23,36.17,60.93,177.127,22.427,23.027,https://www.chime-frb.ca/catalog
FRB20180920B,CHIME,No,12:44:21.6,0.23,+63:31:12.0,0.24,124.26,53.59,463.4,33.2,25.1,https://www.chime-frb.ca/catalog
FRB20181014D,CHIME,No,14:24:09.6,0.21,-02:55:48.0,0.35,343.2,52.54,377.132,30.032,26.532,https://www.chime-frb.ca/catalog
FRB20181017C,UTMOST,No,22:05:54.8,0.007,-08:50:34.2,4,50.06,46.88,239.97,39,,https://doi.org/10.1093/mnras/stz1748
FRB20181118D,FAST,No,07:56:41.9,,+16:08:56.7,,205.2,21.5,1187.7,71.53,88.3,https://doi.org/10.3847/2041-8213/abe7f0
FRB20181122A,CHIME,No,04:00:09.6,0.22,+55:28:48.0,0.22,147.51,1.89,662.821,196.121,298.721,https://www.chime-frb.ca/catalog
FRB20181128D,CHIME,No,14:22:28.8,0.031,+59:55:48.0,0.12,103.82,53.69,146.5012,32.7012,25.2012,https://www.chime-frb.ca/catalog
FRB20181129B,CHIME,No,20:30:14.4,0.26,+81:19:12.0,0.34,114.35,23.24,405.905,62.105,62.105,https://www.chime-frb.ca/catalog
FRB20181224A,CHIME,No,23:40:26.4,0.025,+44:33:36.0,0.078,109.84,-16.5,310.20644,85.00644,78.30644,https://www.chime-frb.ca/catalog
FRB20181227A,CHIME,No,02:07:09.6,0.23,+78:22:48.0,0.27,126.83,16.09,791.2134,89.0134,110.7134,https://www.chime-frb.ca/catalog
FRB20190102A,CHIME,No,00:37:02.4,0.18,+26:43:12.0,0.057,118.96,-36.04,699.1727,43.5727,34.9727,https://www.chime-frb.ca/catalog
